Cloister	gin:1 1/2 ounces,Chartreuse:1/2 ounce,grapefruit juice:1/2 ounce,lemon juice:1/4 ounce,simple syrup:1/4 ounce,
Deshler	rye whiskey:1 1/2 ounces,Dubonnet:1 ounce,Cointreau:1/4 ounce,Peychaud's bitters:2 dashes,orange twist:1 whole,lemon twist:1 whole,
Lucien Gaudin	gin:1 ounce,Cointreau:1/2 ounce,Campari:1/2 ounce,dry vermouth:1/2 ounce,
Nightwatch	gin:1 ounce,coffee liqueur:1 ounce,Pernod:1/4 ounce,
Stargazer	rye whiskey:1 1/2 ounces,Lillet blanc:1 1/2 ounces,Angostura Bitters:1 dash,
Stork Club	gin:1 1/2 ounces,Cointreau:1/2 ounce,orange juice:1 ounce,lime juice:1/4 ounce,Angostura Bitters:1 dash,
Strega Daiquiri	rum:1 ounce,Strega:1 ounce,lemon juice:1/2 ounce,orange juice:1/2 ounce,orgeat:1/4 teaspoon,
Tyrol	brandy:1/2 ounce,Chartreuse:1/2 ounce,Galliano:1 ounce,cream:1/2 ounce,
Suffering Bastard	gin:1 ounce,bourbon whiskey:1 ounce,lime juice:1 ounce,ginger ale:4 ounces,Angostura Bitters:1 dash,
Hula Hula	orange juice:1 ounce,orange cura�ao:1 ounce,gin:1 ounce,
Beachbum's Own	lemon juice:3/4 ounce,pineapple juice:3/4 ounce,orange juice:3/4 ounce,passion fruit syrup:3/4 ounce,Licor 43:3/4 ounce,rum:1 ounce,rum:1 1/2 ounces,
East India House	brandy:2 ounces,pineapple syrup:1 teaspoon,maraschino liqueur:1 teaspoon,orange cura�ao:1 teaspoon,Angostura Bitters:3 dashes,
Ritz Bijou	gin:1 1/2 ounces,dry vermouth:3/4 ounce,orange cura�ao:3/4 ounce,orange bitters:1 dash,
Sherman	sweet vermouth:2 ounces,rye whiskey:1 ounce,absinthe:3 dashes,Angostura Bitters:1 dash,orange bitters:1 dash,
Good Hurt	rum:2 ounces,grapefruit juice:3/4 ounce,Dubonnet:1/2 ounce,simple syrup:1/4 ounce,
Festa	cacha�a:2 ounces,lime juice:1/2 ounce,raspberry syrup:1/2 ounce,ginger liquer:1/2 ounce,Angostura Bitters:1 dash,soda water:1 ounce,
Jolly Roger	rum:1 ounce,rum:1 ounce,orange juice:1 ounce,falernum:1/4 ounce,Angostura Bitters:1 dash,
Grasshopper	cr�me de menthe:1 ounce,cr�me de cacao:1 ounce,cream:1 ounce,
Corpse Reviver #1	brandy:2 ounces,sweet vermouth:1 ounce,applejack:1 ounce,
Corpse Reviver #3	brandy:1 ounce,Campari:1 ounce,triple sec:1 ounce,lemon juice:1/2 ounce,
Twenty-First Century Cocktail	tequila:1 1/2 ounces,cr�me de cacao:3/4 ounce,lemon juice:3/4 ounce,absinthe:1/4 ounce,
Vacation	cacha�a:1 1/2 ounces,lemon juice:3/4 ounce,Aperol:3/4 ounce,simple syrup:1/2 ounce,egg white:1 whole,peach bitters:1 dash,
Fourth Regiment Cocktail	rye whiskey:1 ounce,sweet vermouth:1 ounce,orange bitters:1 dash,Peychaud's bitters:1 dash,celery bitters:1 dash,
Norwegian Wood	aquavit:1 ounce,applejack:1 ounce,sweet vermouth:3/4 ounce,Chartreuse:1/4 ounce,
Smoke and Mirrors	aquavit:1 1/4 ounce,Campari:1 1/4 ounce,Cynar:3/4 ounce,
Seelbach	bourbon whiskey:1 ounce,Cointreau:1/2 ounce,Angostura Bitters:7 dashes,Peychaud's bitters:7 dashes,champagne:5 ounces,
Little Italy	rye whiskey:2 ounces,sweet vermouth:3/4 ounce,Cynar:1/2 ounce,
Outrigger	rum:2 ounces,Cointreau:1 ounce,lemon juice:1/2 ounce,
Hot Buttered Rum	butter:1 teaspoon,brown sugar:2 teaspoons,water:5 ounces,rum:2 ounces,
Fancy Whiskey Cocktail	rye whiskey:2 ounces,Angostura Bitters:2 dashes,simple syrup:4 dashes,
Royalist	dry vermouth:1 1/2 ounces,bourbon whiskey:3/4 ounce,Benedictine:3/4 ounce,peach bitters:1 dash,
Black Hawk	bourbon whiskey:1 1/4 ounce,sloe gin:1 1/4 ounce,lemon juice:1/2 ounce,
Apricot Cocktail	gin:1 1/2 ounces,apricot brandy:1/2 ounce,orange bitters:1 dash,
Bourbon Milk Punch	bourbon whiskey:1 1/2 ounces,milk:4 ounces,simple syrup:2 teaspoons,vanilla extract:2 dashes,
Lion's Tail	bourbon whiskey:2 ounces,pimento dram:1/2 ounce,lime juice:1/2 ounce,simple syrup:1 teaspoon,Angostura Bitters:1 dash,
